Name|Type|Output
Q0|0
Q1|3
Q2|3
Q3|3
Q4|3
Q5|3
Q6|3
O0|2|identifier
O1|2|comma
O2|2|semicolon
O3|2|left_par
O4|2|right_par
O5|2|simb_plus
O6|2|simb_minus
O7|2|simb_mult
O8|2|period
O9|2|simb_div
O10|2|rel_op
O11|2|assign_op
O13|2|integer_literal
P0|4|identifier
P1|4|ident
P2|4|angular brackets
P3|4|number
P4|4|colons
P5|4|comment
E1|1|Found invalid character on candidate identifier. Use only letters and digits for identifiers.
E2|1|Invalid character
E3|1|Ident beggining with digits or invalid integer literal. Did you mean to write a number?
E4|1|Unexpected line break. Comments must be inline. Did you mean to close your comment with '}' before skipping to the next line?
E5|1|Colons are exclusively used for the assignment operator :=. Did you mean to write := ?
E6|1|Angular brackets are used for relational operators. Did you mean to write <, >, <= or >= ?
E7|1|Found spurious symbol on integer literal. Did you mean to write a number?
