CurrentState|Input|NextState|Direction
Q0|branco|Q0|F
Q0|,|O1|F
Q0|;|O2|F
Q0|(|O3|F
Q0|)|O4|F
Q0|+|O5|F
Q0|-|O6|F
Q0|*|O7|F
Q0|.|O8|F
Q0|/|O9|F
Q0|=|O10|F
Q0|letra|Q1|F
Q0|:|Q2|F
Q0|digito|Q3|F
Q0|<|Q4|F
Q0|>|Q5|F
Q0|{|Q6|F
Q0|outro|E2|B
Q1|letra|Q1|F
Q1|digito|Q1|F
Q1|branco|O0|B
Q1|simbolo|O0|B
Q1|outro|E1|B
Q2|=|011|F
Q2|outro|E5|B
Q3|branco|O13|B
Q3|simbolo|O13|B
Q3|letra|E3|B
Q4|=|O14|F
Q4|<|015|F
Q4|letra|018|B
Q4|simbolo|O18|B
Q4|digito|018|B
Q4|branco|O18|B
Q4|outro|E6|B
Q5|=|012|F
Q5|letra|017|B
Q5|simbolo|O17|B
Q5|digito|017|B
Q5|branco|O17|B
Q5|outro|E7|B
Q6|outro|Q6|F
Q6|}|O16|F
Q6|quebra-linha|E4|B
